BUFFALO TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ BUF CLASS C             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.56.16.476 W078.37.07.793 N042.56.13.935 W078.37.16.675
                          N042.56.13.935 W078.37.16.675 N042.56.10.650 W078.37.25.092
                          N042.56.10.650 W078.37.25.092 N042.56.06.665 W078.37.32.929
                          N042.56.06.665 W078.37.32.929 N042.56.02.037 W078.37.40.081
                          N042.56.02.037 W078.37.40.081 N042.55.56.827 W078.37.46.449
                          N042.55.56.827 W078.37.46.449 N042.55.51.105 W078.37.51.947
                          N042.55.51.105 W078.37.51.947 N042.55.44.954 W078.37.56.497
                          N042.55.44.954 W078.37.56.497 N042.55.38.451 W078.38.00.042
                          N042.55.38.451 W078.38.00.042 N042.55.31.691 W078.38.02.528
                          N042.55.31.691 W078.38.02.528 N042.55.24.765 W078.38.03.926
                          N042.55.24.765 W078.38.03.926 N042.55.17.766 W078.38.04.213
                          N042.55.17.766 W078.38.04.213 N042.55.10.790 W078.38.03.390
                          N042.55.10.790 W078.38.03.390 N042.55.03.932 W078.38.01.464
                          N042.55.03.932 W078.38.01.464 N042.54.57.284 W078.37.58.462
                          N042.54.57.284 W078.37.58.462 N042.54.50.942 W078.37.54.427
                          N042.54.50.942 W078.37.54.427 N042.54.44.987 W078.37.49.412
                          N042.54.44.987 W078.37.49.412 N042.54.39.503 W078.37.43.488
                          N042.54.39.503 W078.37.43.488 N042.54.34.563 W078.37.36.734
                          N042.54.34.563 W078.37.36.734 N042.54.34.563 W078.37.36.734
                          N042.56.16.634 W078.37.07.863 N042.56.39.321 W078.37.08.059
                          N042.56.39.321 W078.37.08.059 N042.57.01.935 W078.37.10.587
                          N042.57.01.935 W078.37.10.587 N042.57.24.340 W078.37.15.436
                          N042.57.24.340 W078.37.15.436 N042.57.46.416 W078.37.22.576
                          N042.57.46.416 W078.37.22.576 N042.58.08.030 W078.37.31.970
                          N042.58.08.030 W078.37.31.970 N042.58.29.059 W078.37.43.564
                          N042.58.29.059 W078.37.43.564 N042.58.49.388 W078.37.57.291
                          N042.58.49.388 W078.37.57.291 N042.59.08.892 W078.38.13.074
                          N042.59.08.892 W078.38.13.074 N042.59.27.469 W078.38.30.822
                          N042.59.27.469 W078.38.30.822 N042.59.45.004 W078.38.50.434
                          N042.59.45.004 W078.38.50.434 N043.00.01.400 W078.39.11.799
                          N043.00.01.400 W078.39.11.799 N043.00.16.563 W078.39.34.794
                          N043.00.16.563 W078.39.34.794 N043.00.30.406 W078.39.59.287
                          N043.00.30.406 W078.39.59.287 N043.00.42.848 W078.40.25.139
                          N043.00.42.848 W078.40.25.139 N043.00.53.821 W078.40.52.202
                          N043.00.53.821 W078.40.52.202 N043.01.03.258 W078.41.20.317
                          N043.01.03.258 W078.41.20.317 N043.01.11.109 W078.41.49.330
