CLEVELAND TRACON AREA     N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ CLE CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N041.22.47.118 W081.58.49.298 N041.23.15.435 W081.58.54.601
                          N041.22.20.166 W082.03.26.267 N041.21.44.253 W082.03.16.501
                          N041.23.15.435 W081.58.54.601 N041.23.44.084 W081.58.56.408
                          N041.10.39.271 W082.19.19.554 N041.10.36.605 W082.19.19.908
                          N040.28.22.161 W080.29.42.816 N040.28.19.032 W080.29.48.008
                          N041.23.44.084 W081.58.56.408 N041.24.12.409 W081.58.54.714
                          N041.05.46.682 W082.03.59.474 N041.06.13.229 W082.05.06.614
                          N041.06.45.024 W082.06.19.016 N041.06.13.229 W082.05.06.614
                          N041.05.37.678 W082.14.17.206 N041.05.39.845 W082.14.12.414
                          N041.24.12.409 W081.58.54.714 N041.24.40.408 W081.58.49.520
                          N041.11.15.023 W082.19.07.781 N041.11.19.443 W082.19.03.420
                          N041.24.40.408 W081.58.49.520 N041.25.08.081 W081.58.40.387
                          N040.38.06.310 W080.19.52.449 N040.37.50.190 W080.20.31.587
                          N041.40.43.555 W081.56.45.337 N041.40.42.226 W081.56.48.587
                          N041.24.15.829 W081.51.12.268 N041.24.15.425 W081.51.12.687
                          N041.25.08.081 W081.58.40.387 N041.25.35.100 W081.58.28.187
                          N041.11.44.752 W082.19.06.139 N041.11.47.230 W082.19.07.487
                          N041.32.46.573 W081.46.30.348 N041.32.47.860 W081.46.30.587
                          N041.25.35.100 W081.58.28.187 N041.26.01.133 W081.58.12.482
                          N041.38.33.034 W081.55.29.296 N041.38.23.941 W081.56.33.082
                          N041.26.01.133 W081.58.12.482 N041.26.25.851 W081.57.53.707
                          N041.19.11.648 W081.49.31.456 N041.19.01.116 W081.50.06.407
                          N040.30.42.510 W080.29.18.014 N040.30.39.700 W080.29.24.407
                          N041.26.25.851 W081.57.53.707 N041.26.48.925 W081.57.31.862
                          N041.26.48.925 W081.57.31.862 N041.27.10.683 W081.57.06.946
                          N041.31.08.402 W081.57.51.271 N041.30.49.234 W081.58.32.846
                          N041.41.03.901 W081.55.52.725 N041.41.13.550 W081.55.54.546
                          N040.30.39.897 W080.48.17.959 N040.30.40.635 W080.48.10.646
                          N041.27.10.683 W081.57.06.946 N041.27.30.465 W081.56.39.396
                          N040.27.19.742 W080.32.05.605 N040.26.33.776 W080.31.55.596
                          N041.38.39.517 W081.54.24.945 N041.38.33.034 W081.55.29.296
                          N041.33.14.856 W081.45.45.827 N041.33.09.252 W081.45.46.096
                          N041.27.30.465 W081.56.39.396 N041.27.47.942 W081.56.09.650
                          N041.05.01.136 W082.01.40.905 N041.05.22.761 W082.02.51.050
                          N041.25.16.561 W081.51.07.125 N041.25.13.597 W081.51.06.250
                          N041.31.21.315 W081.52.52.227 N041.31.23.662 W081.52.54.850
                          N041.27.47.942 W081.56.09.650 N041.28.03.443 W081.55.37.708
                          N041.27.15.223 W081.54.58.940 N041.27.14.160 W081.54.53.508
                          N041.26.03.784 W081.55.46.452 N041.26.02.592 W081.55.48.408
                          N041.31.11.737 W081.52.06.346 N041.31.09.254 W081.52.05.008
                          N041.28.03.443 W081.55.37.708 N041.28.16.636 W081.55.04.007
                          N041.38.43.154 W081.51.10.404 N041.38.44.585 W081.52.15.307
                          N041.32.53.578 W081.46.01.087 N041.32.52.612 W081.46.00.907
                          N041.40.50.006 W081.57.07.999 N041.40.53.222 W081.57.08.607
                          N041.41.27.532 W081.56.11.191 N041.41.27.350 W081.56.12.907
                          N041.37.03.130 W081.24.49.872 N041.37.04.930 W081.24.51.507
                          N040.30.23.737 W080.25.15.616 N040.30.23.252 W080.25.16.107
                          N041.28.16.636 W081.55.04.007 N041.28.27.193 W081.54.28.988
                          N041.10.24.852 W081.43.07.398 N041.10.48.432 W081.42.10.988
                          N040.30.10.484 W080.30.21.844 N040.30.13.423 W080.30.27.488
                          N041.28.27.193 W081.54.28.988 N041.28.35.442 W081.53.52.649
                          N040.31.57.866 W080.31.53.551 N040.31.11.977 W080.32.04.149
                          N041.27.54.689 W081.55.01.120 N041.27.52.535 W081.55.05.949
                          N040.29.02.976 W080.23.54.135 N040.28.57.929 W080.23.52.149
