DETROIT TRACON AREA       N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ D21 CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.17.17.652 W083.27.27.291 N042.17.36.767 W083.27.00.455
                          N042.19.31.833 W083.35.39.307 N042.19.32.775 W083.35.04.611
                          N042.19.32.775 W083.35.04.611 N042.19.33.026 W083.35.01.979
                          N042.19.44.738 W083.33.41.320 N042.19.52.362 W083.33.10.598
                          N042.19.52.362 W083.33.10.598 N042.19.54.455 W083.33.04.381
                          N042.20.22.747 W083.31.53.568 N042.20.35.682 W083.31.29.047
                          N042.20.35.682 W083.31.29.047 N042.20.40.613 W083.31.21.257
                          N042.21.23.080 W083.30.24.411 N042.21.38.353 W083.30.08.367
                          N042.21.38.353 W083.30.08.367 N042.21.51.869 W083.29.56.401
                          N042.19.44.827 W083.37.36.997 N042.19.38.255 W083.37.02.381
                          N042.10.46.412 W083.28.24.035 N042.11.02.182 W083.27.56.937
                          N042.11.02.182 W083.27.56.937 N042.11.05.104 W083.27.52.955
                          N042.11.44.016 W083.27.05.171 N042.12.08.072 W083.26.43.935
                          N042.12.08.072 W083.26.43.935 N042.12.36.491 W083.26.37.895
                          N042.13.35.639 W083.26.25.318 N042.14.05.260 W083.26.19.016
                          N042.14.57.138 W083.26.07.978 N042.15.16.818 W083.26.03.787
                          N042.15.16.818 W083.26.03.787 N042.15.39.624 W083.26.12.148
                          N042.16.15.098 W083.26.31.167 N042.16.33.536 W083.26.43.767
                          N042.16.33.536 W083.26.43.767 N042.16.44.689 W083.26.53.580
                          N042.17.06.464 W083.27.14.986 N042.17.17.664 W083.27.27.307
                          N042.18.18.373 W083.26.02.020 N042.18.39.175 W083.25.32.795
                          N042.19.20.598 W083.24.34.567 N042.19.41.222 W083.24.05.564
                          N041.51.42.646 W083.03.55.888 N041.51.27.110 W083.04.30.177
                          N041.50.56.851 W083.05.39.370 N041.50.42.514 W083.06.14.574
                          N041.50.15.629 W083.07.26.203 N041.50.03.444 W083.07.59.932
                          N041.50.03.444 W083.07.59.932 N041.50.02.668 W083.08.02.337
                          N041.49.38.895 W083.09.15.919 N041.49.35.950 W083.09.25.029
                          N041.49.35.950 W083.09.25.029 N041.49.27.983 W083.09.53.232
                          N041.49.07.403 W083.11.08.485 N041.48.58.217 W083.11.46.623
                          N041.48.41.230 W083.13.03.451 N041.48.33.276 W083.13.42.076
                          N042.22.09.702 W082.50.46.426 N042.21.41.669 W082.50.32.135
                          N042.20.45.206 W082.50.05.060 N042.20.16.729 W082.49.52.460
                          N042.19.19.174 W082.49.29.893 N042.19.09.822 W082.49.26.282
                          N042.19.09.822 W082.49.26.282 N042.18.50.116 W082.49.20.057
                          N042.17.51.623 W082.49.02.458 N042.17.22.208 W082.48.54.702
                          N042.16.23.064 W082.48.41.670 N042.16.04.152 W082.48.37.803
                          N042.16.04.152 W082.48.37.803 N042.15.53.371 W082.48.36.222
                          N042.14.53.749 W082.48.27.975 N042.14.23.834 W082.48.25.521
                          N042.13.23.948 W082.48.22.307 N042.12.55.342 W082.48.21.377
                          N042.12.55.342 W082.48.21.377 N042.12.53.983 W082.48.21.408
                          N042.11.54.049 W082.48.22.751 N042.11.52.439 W082.48.22.790
                          N042.11.52.439 W082.48.22.790 N042.11.24.135 W082.48.25.236
                          N042.10.24.390 W082.48.31.646 N042.09.54.569 W082.48.35.696
                          N042.08.55.195 W082.48.46.706 N042.08.44.169 W082.48.48.833
                          N042.08.44.169 W082.48.48.833 N042.08.25.676 W082.48.53.631
                          N042.07.26.940 W082.49.09.657 N042.06.57.738 W082.49.18.737
                          N042.05.59.788 W082.49.39.274 N042.05.39.999 W082.49.46.640
                          N042.05.39.999 W082.49.46.640 N042.05.31.023 W082.49.50.552
                          N042.04.34.086 W082.50.15.695 N042.04.05.954 W082.50.29.579
                          N042.03.10.236 W082.50.59.199 N042.02.42.600 W082.51.14.760
                          N042.01.48.304 W082.51.48.845 N042.01.45.438 W082.51.50.646
                          N042.01.45.438 W082.51.50.646 N042.01.21.696 W082.52.07.344
                          N042.00.29.067 W082.52.45.790 N042.00.03.100 W082.53.05.864
                          N041.59.12.215 W082.53.48.323 N041.59.01.598 W082.53.57.306
                          N041.59.01.598 W082.53.57.306 N041.58.47.275 W082.54.10.586
                          N041.57.58.324 W082.54.56.935 N041.57.34.406 W082.55.21.138
                          N041.56.47.785 W082.56.11.587 N041.56.30.699 W082.56.30.649
                          N041.56.30.699 W082.56.30.649 N041.56.24.941 W082.56.37.572
                          N041.55.40.449 W082.57.31.371 N041.55.18.972 W082.57.59.362
                          N041.54.37.001 W082.58.56.639 N041.54.16.462 W082.59.25.864
                          N041.53.37.137 W083.00.26.423 N041.53.34.020 W083.00.31.236
                          N041.53.34.020 W083.00.31.236 N041.53.18.354 W083.00.57.676
                          N041.52.41.828 W083.02.01.261 N041.52.24.193 W083.02.33.690
                          N041.51.50.548 W083.03.40.055 N041.51.42.646 W083.03.55.888
                          N042.37.39.454 W083.18.27.026 N042.37.35.615 W083.17.46.777
                          N042.37.26.882 W083.16.26.496 N042.37.21.819 W083.15.46.497
                          N042.37.09.339 W083.14.27.131 N042.37.06.355 W083.14.08.800
                          N042.37.06.355 W083.14.08.800 N042.37.02.324 W083.13.47.687
                          N042.36.46.792 W083.12.29.324 N042.36.37.855 W083.11.50.595
                          N042.36.18.575 W083.10.33.783 N042.36.08.989 W083.09.57.502
                          N042.36.08.989 W083.09.57.502 N042.36.08.421 W083.09.55.618
                          N042.35.45.697 W083.08.40.543 N042.35.44.461 W083.08.36.459
                          N042.35.44.461 W083.08.36.459 N042.35.33.269 W083.08.03.638
                          N042.35.07.339 W083.06.50.520 N042.34.53.671 W083.06.14.430
                          N042.34.24.438 W083.05.03.641 N042.34.15.654 W083.04.42.864
                          N042.34.15.654 W083.04.42.864 N042.34.09.128 W083.04.28.795
                          N042.33.36.984 W083.03.20.366 N042.33.19.949 W083.02.47.012
                          N042.32.44.711 W083.01.41.456 N042.32.26.606 W083.01.09.158
                          N042.31.48.402 W083.00.06.707 N042.31.43.981 W082.59.59.503
                          N042.31.43.981 W082.59.59.503 N042.31.28.570 W082.59.36.337
                          N042.30.47.871 W082.58.36.879 N042.30.26.805 W082.58.08.061
                          N042.29.43.461 W082.57.12.130 N042.29.27.926 W082.56.52.527
                          N042.29.27.926 W082.56.52.527 N042.29.21.290 W082.56.44.896
                          N042.28.35.524 W082.55.52.605 N042.28.11.878 W082.55.27.736
                          N042.27.23.871 W082.54.39.284 N042.26.59.492 W082.54.15.747
                          N042.26.09.387 W082.53.31.340 N042.26.00.622 W082.53.23.644
                          N042.26.00.622 W082.53.23.644 N042.25.43.812 W082.53.10.262
                          N042.24.51.857 W082.52.29.947 N042.24.25.374 W082.52.11.010
                          N042.23.31.673 W082.51.35.114 N042.23.09.144 W082.51.20.577
                          N042.23.09.144 W082.51.20.577 N042.23.04.545 W082.51.17.935
                          N041.48.47.917 W082.57.47.796 N041.48.30.451 W082.58.20.356
                          N041.47.55.711 W082.59.25.640 N041.47.39.546 W082.59.59.370
                          N041.47.07.555 W083.01.07.097 N041.46.52.536 W083.01.41.754
                          N042.26.15.573 W082.45.50.885 N042.25.48.505 W082.45.33.518
                          N042.24.54.011 W082.44.59.856 N042.24.26.418 W082.44.44.062
                          N042.23.30.688 W082.44.14.317 N042.23.03.608 W082.44.00.357
                          N042.23.03.608 W082.44.00.357 N042.23.02.682 W082.43.59.929
                          N042.22.05.955 W082.43.33.805 N042.21.57.563 W082.43.29.943
                          N042.21.57.563 W082.43.29.943 N042.21.37.306 W082.43.21.961
