PITTSBURGH TRACON AREA    N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
+ PIT CLASS B             N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.29.28.834 W080.04.48.054 N040.29.01.642 W080.04.49.280
                          N040.29.01.642 W080.04.49.280 N040.28.34.569 W080.04.52.810
                          N040.28.34.569 W080.04.52.810 N040.28.07.726 W080.04.58.627
                          N040.28.07.726 W080.04.58.627 N040.27.41.226 W080.05.06.704
                          N040.27.41.226 W080.05.06.704 N040.27.15.181 W080.05.17.007
                          N040.27.15.181 W080.05.17.007 N040.26.49.699 W080.05.29.496
                          N040.26.49.699 W080.05.29.496 N040.26.24.890 W080.05.44.113
                          N040.26.24.890 W080.05.44.113 N040.26.00.855 W080.06.00.798
                          N040.26.00.855 W080.06.00.798 N040.25.37.692 W080.06.19.482
                          N040.25.37.692 W080.06.19.482 N040.25.15.504 W080.06.40.084
                          N040.25.15.504 W080.06.40.084 N040.24.54.377 W080.07.02.517
                          N040.24.54.377 W080.07.02.517 N040.24.34.405 W080.07.26.691
                          N040.24.34.405 W080.07.26.691 N040.24.15.670 W080.07.52.498
                          N040.24.15.670 W080.07.52.498 N040.23.58.250 W080.08.19.837
                          N040.23.58.250 W080.08.19.837 N040.23.42.216 W080.08.48.586
                          N040.23.42.216 W080.08.48.586 N040.23.27.636 W080.09.18.632
                          N040.23.27.636 W080.09.18.632 N040.23.14.569 W080.09.49.846
                          N040.23.14.569 W080.09.49.846 N040.23.03.078 W080.10.22.094
                          N040.23.03.078 W080.10.22.094 N040.22.53.200 W080.10.55.249
                          N040.22.53.200 W080.10.55.249 N040.22.44.983 W080.11.29.165
                          N040.22.44.983 W080.11.29.165 N040.22.38.457 W080.12.03.705
                          N040.22.38.457 W080.12.03.705 N040.22.33.654 W080.12.38.721
                          N040.22.33.654 W080.12.38.721 N040.22.30.590 W080.13.14.071
                          N040.22.30.590 W080.13.14.071 N040.22.29.281 W080.13.49.607
                          N040.22.29.281 W080.13.49.607 N040.22.29.729 W080.14.25.177
                          N040.22.29.729 W080.14.25.177 N040.22.31.937 W080.15.00.634
                          N040.22.31.937 W080.15.00.634 N040.22.35.891 W080.15.35.833
                          N040.22.35.891 W080.15.35.833 N040.22.41.576 W080.16.10.624
                          N040.22.41.576 W080.16.10.624 N040.22.48.968 W080.16.44.864
                          N040.22.48.968 W080.16.44.864 N040.22.58.037 W080.17.18.409
                          N040.22.58.037 W080.17.18.409 N040.23.08.746 W080.17.51.117
                          N040.23.08.746 W080.17.51.117 N040.23.21.048 W080.18.22.856
                          N040.23.21.048 W080.18.22.856 N040.23.34.891 W080.18.53.487
                          N040.23.34.891 W080.18.53.487 N040.23.50.221 W080.19.22.887
                          N040.23.50.221 W080.19.22.887 N040.24.06.974 W080.19.50.931
                          N040.24.06.974 W080.19.50.931 N040.24.25.076 W080.20.17.504
                          N040.24.25.076 W080.20.17.504 N040.24.44.451 W080.20.42.490
                          N040.24.44.451 W080.20.42.490 N040.25.05.024 W080.21.05.787
                          N040.25.05.024 W080.21.05.787 N040.25.26.704 W080.21.27.298
                          N040.25.26.704 W080.21.27.298 N040.25.49.400 W080.21.46.930
                          N040.25.49.400 W080.21.46.930 N040.26.13.020 W080.22.04.603
                          N040.26.13.020 W080.22.04.603 N040.26.37.466 W080.22.20.240
                          N040.26.37.466 W080.22.20.240 N040.27.02.630 W080.22.33.778
                          N040.27.02.630 W080.22.33.778 N040.27.28.414 W080.22.45.156
                          N040.27.28.414 W080.22.45.156 N040.27.54.703 W080.22.54.328
