CLE TOWER:                N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000 ;Remark
- CLE TWR 6               N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N041.25.36.647 W081.52.00.070 N041.26.24.389 W081.52.53.474
                          N041.27.12.125 W081.53.47.338 N041.27.59.853 W081.54.40.786
                          N041.28.36.714 W081.55.21.981 N041.29.25.089 W081.56.15.030
                          N041.23.13.176 W081.53.12.325 N041.22.34.542 W081.54.13.330
                          N041.22.58.442 W081.58.41.554 N041.22.29.204 W081.58.27.620
                          N041.22.29.204 W081.58.27.620 N041.22.00.960 W081.58.10.452
                          N041.22.00.960 W081.58.10.452 N041.22.00.835 W081.58.10.367
                          N041.28.07.544 W081.45.26.672 N041.28.07.470 W081.45.26.567
                          N041.28.07.744 W081.45.24.826 N041.28.07.848 W081.45.24.767
                          N041.29.24.941 W081.56.14.653 N041.29.03.679 W081.56.44.774
                          N041.30.39.198 W081.40.52.873 N041.30.28.352 W081.40.50.874
                          N041.29.03.679 W081.56.44.774 N041.28.40.573 W081.57.12.387
                          N041.28.40.573 W081.57.12.387 N041.28.19.415 W081.57.33.918
                          N041.19.18.265 W081.54.31.055 N041.19.05.788 W081.53.53.318
                          N041.28.08.711 W081.45.25.006 N041.28.08.791 W081.45.25.118
                          N041.19.33.103 W081.55.07.259 N041.19.18.265 W081.54.31.055
                          N041.19.05.788 W081.53.53.318 N041.19.05.694 W081.53.52.997
                          N041.26.12.833 W081.48.30.124 N041.26.12.741 W081.48.30.197
                          N041.18.41.215 W081.51.19.281 N041.18.41.098 W081.50.38.081
                          N041.18.41.098 W081.50.38.081 N041.18.43.610 W081.49.57.015
                          N041.27.28.838 W081.46.27.472 N041.27.30.142 W081.46.27.715
                          N041.21.46.130 W081.55.55.040 N041.21.22.895 W081.56.06.215
                          N041.18.43.610 W081.49.57.015 N041.18.43.644 W081.49.56.652
                          N041.24.48.784 W081.46.01.767 N041.24.45.425 W081.44.42.152
                          N041.21.06.046 W081.44.28.630 N041.21.31.566 W081.44.05.103
                          N041.21.31.566 W081.44.05.103 N041.21.58.494 W081.43.44.525
                          N041.21.58.494 W081.43.44.525 N041.21.58.650 W081.43.44.417
                          N041.23.38.727 W081.42.58.218 N041.24.09.462 W081.42.52.161
                          N041.24.09.462 W081.42.52.161 N041.24.40.474 W081.42.49.581
                          N041.24.40.474 W081.42.49.581 N041.24.40.784 W081.42.49.573
                          N041.30.54.897 W081.40.26.074 N041.30.57.926 W081.40.24.773
                          N041.29.09.606 W081.42.00.655 N041.29.53.843 W081.41.38.173
                          N041.28.46.376 W081.39.17.442 N041.29.21.199 W081.39.42.988
                          N041.29.21.199 W081.39.42.988 N041.29.40.412 W081.39.58.871
                          N041.24.28.339 W081.37.50.841 N041.25.08.045 W081.37.53.845
                          N041.25.08.045 W081.37.53.845 N041.25.30.281 W081.37.57.067
                          N041.32.05.307 W081.42.54.639 N041.32.28.867 W081.43.37.282
                          N041.32.28.867 W081.43.37.282 N041.32.41.323 W081.44.02.481
                          N041.28.45.977 W081.44.25.293 N041.28.45.929 W081.44.25.181
                          N041.33.50.839 W081.47.29.493 N041.34.00.469 W081.48.20.870
                          N041.28.07.414 W081.45.26.328 N041.28.08.719 W081.45.26.570
                          N041.34.00.469 W081.48.20.870 N041.34.04.804 W081.48.50.494
                          N041.20.04.800 W081.45.46.968 N041.20.22.880 W081.45.20.012
                          N041.29.31.455 W081.46.00.101 N041.29.31.581 W081.45.58.812
                          N041.24.10.987 W081.51.13.019 N041.24.10.496 W081.51.12.612
                          N041.19.43.801 W081.46.24.202 N041.20.02.276 W081.45.51.070
                          N041.20.02.276 W081.45.51.070 N041.20.04.800 W081.45.46.968
                          N041.32.54.160 W081.57.45.561 N041.32.33.213 W081.58.30.560
                          N041.26.12.373 W081.48.28.049 N041.26.12.466 W081.48.28.060
                          N041.32.33.213 W081.58.30.560 N041.32.20.190 W081.58.55.522
                          N041.30.52.622 W081.57.35.327 N041.30.01.618 W081.56.48.370
                          N041.32.20.139 W081.58.55.683 N041.31.28.816 W081.58.08.253
                          N041.26.12.171 W081.48.28.073 N041.26.12.274 W081.48.28.053
                          N041.24.55.128 W081.48.41.004 N041.24.52.129 W081.47.21.385
                          N041.24.42.050 W081.43.22.539 N041.24.38.989 W081.42.02.928
                          N041.31.15.087 W081.40.27.005 N041.31.17.945 W081.40.29.128
                          N041.24.35.584 W081.40.43.320 N041.24.32.493 W081.39.23.713
                          N041.24.29.058 W081.38.04.547 N041.24.28.373 W081.37.50.989
                          N041.25.32.896 W081.49.30.520 N041.25.32.878 W081.49.30.389
                          N041.34.08.190 W081.52.57.098 N041.34.01.455 W081.53.49.288
                          N041.28.45.910 W081.44.24.230 N041.28.45.965 W081.44.24.088
                          N041.34.01.455 W081.53.49.288 N041.33.56.437 W081.54.18.843
                          N041.26.13.174 W081.48.28.886 N041.26.13.197 W081.48.29.043
                          N041.34.10.510 W081.52.31.666 N041.32.46.509 W081.51.14.777
                          N041.32.46.509 W081.51.14.777 N041.29.12.163 W081.43.44.437
                          N041.29.12.163 W081.43.44.437 N041.29.18.973 W081.42.13.304
                          N041.24.16.931 W081.51.05.746 N041.24.17.130 W081.51.06.504
                          N041.20.38.557 W081.57.16.192 N041.19.59.868 W081.58.17.095
                          N041.19.21.170 W081.59.17.979 N041.18.42.463 W082.00.18.843
                          N041.18.03.748 W082.01.19.687 N041.17.34.690 W082.02.05.330
                          N041.17.11.754 W082.01.39.658 N041.17.34.690 W082.02.05.330
