PIT TRACON FLOW:          N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
- RWY 10                  N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N040.08.21.521 W080.47.59.934 N040.07.23.383 W080.48.30.379
                          N040.19.13.833 W080.49.34.667 N040.19.20.943 W080.51.08.146
                          N040.18.59.569 W080.46.22.990 N040.19.06.405 W080.47.53.871
                          N040.19.08.872 W080.48.30.052 N040.19.11.682 W080.49.02.361
                          N040.21.29.255 W080.17.48.104 N040.21.13.763 W080.18.09.200
                          N040.20.56.949 W080.18.32.877 N040.19.12.082 W080.20.57.877
                          N040.18.54.932 W080.21.21.099 N040.18.38.106 W080.21.44.751
                          N040.18.23.922 W080.22.04.096 N040.16.39.971 W080.24.27.626
                          N040.16.25.118 W080.24.48.673 N040.16.06.630 W080.25.14.012
                          N040.15.50.123 W080.25.36.770 N040.14.07.092 W080.27.58.401
                          N040.13.51.566 W080.28.20.280 N040.13.34.058 W080.28.44.300
                          N040.13.16.549 W080.29.07.886 N040.11.33.772 W080.31.29.768
                          N040.37.36.829 W080.32.09.163 N040.35.34.909 W080.32.13.854
                          N040.25.33.855 W080.32.35.984 N040.22.38.871 W080.32.43.013
                          N040.37.55.440 W080.43.26.941 N040.37.54.883 W080.43.00.556
                          N040.37.54.021 W080.42.28.546 N040.37.49.641 W080.39.54.123
                          N040.37.48.767 W080.39.21.250 N040.37.47.884 W080.38.50.107
                          N040.37.47.010 W080.38.15.071 N040.37.41.662 W080.35.00.868
                          N040.37.40.439 W080.34.26.266 N040.37.39.860 W080.33.55.990
                          N040.37.38.636 W080.33.19.660 N040.37.33.143 W080.30.08.497
                          N040.37.32.218 W080.29.36.925 N040.37.31.302 W080.28.59.731
                          N040.37.30.364 W080.28.32.917 N040.37.24.423 W080.25.13.983
                          N040.37.23.481 W080.24.38.523 N040.37.22.857 W080.24.11.279
                          N040.37.21.904 W080.23.40.141 N040.37.15.821 W080.20.25.544
                          N040.37.15.181 W080.19.55.277 N040.37.13.883 W080.19.17.656
                          N040.37.12.910 W080.18.46.954 N040.37.07.017 W080.15.35.831
                          N040.37.06.028 W080.15.04.267 N040.37.05.035 W080.14.30.108
                          N040.37.04.038 W080.13.56.814 N040.36.58.011 W080.10.43.545
                          N040.36.56.997 W080.10.08.524 N040.36.55.982 W080.09.38.690
                          N040.36.54.963 W080.09.04.103 N040.36.51.213 W080.07.09.965
                          N040.39.25.852 W080.22.41.978 N040.37.17.748 W080.21.29.978
                          N040.40.11.296 W080.23.08.020 N040.39.49.564 W080.22.55.430
