ROC TRACON FLOW           N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
- RWY 4                   N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.35.29.945 W078.09.30.143 N042.34.10.561 W078.13.08.712
                          N042.55.02.160 W077.54.52.853 N042.55.37.219 W077.56.10.069
                          N042.45.03.846 W078.17.35.511 N042.45.41.629 W078.18.50.082
                          N043.18.50.163 W077.08.12.998 N043.18.35.915 W077.06.43.841
                          N043.08.47.757 W076.45.47.229 N043.08.50.323 W076.44.16.345
                          N043.09.17.502 W076.44.37.976 N043.08.20.583 W076.45.25.592
                          N043.12.48.962 W078.30.01.865 N043.12.38.742 W078.28.31.689
                          N043.12.25.188 W078.28.39.163 N043.13.02.519 W078.29.54.397
                          N043.03.41.856 W078.00.43.895 N043.02.52.642 W077.59.43.006
                          N043.03.25.938 W077.59.29.264 N043.03.08.885 W078.00.57.180
                          N042.55.44.293 W077.55.00.641 N042.54.55.745 W077.56.02.718
                          N042.45.43.354 W078.17.37.252 N042.45.02.120 W078.18.48.326
                          N043.19.07.258 W077.06.57.087 N043.18.18.820 W077.07.59.742
                          N043.04.03.384 W077.53.16.690 N043.05.03.235 W077.53.56.439
                          N043.04.41.955 W077.52.52.572 N043.04.24.988 W077.54.20.550
                          N043.23.59.976 W078.00.00.224 N043.25.20.601 W078.02.01.726
                          N043.02.43.279 W077.59.28.734 N043.02.24.470 W077.59.20.330
                          N043.02.24.470 W077.59.20.330 N043.02.05.799 W077.59.11.366
                          N043.02.05.799 W077.59.11.366 N043.01.47.276 W077.59.01.845
                          N042.58.14.895 W077.56.21.370 N042.57.59.070 W077.56.04.915
                          N042.57.59.070 W077.56.04.915 N042.57.43.515 W077.55.47.987
                          N042.57.43.515 W077.55.47.987 N042.57.28.236 W077.55.30.597
                          N042.54.49.075 W077.51.29.153 N042.54.37.717 W077.51.05.961
                          N042.54.37.717 W077.51.05.961 N042.54.26.747 W077.50.42.423
                          N042.54.26.747 W077.50.42.423 N042.54.16.173 W077.50.18.557
                          N042.54.16.173 W077.50.18.557 N042.54.16.173 W077.50.18.557
                          N042.52.43.180 W077.45.17.727 N042.52.38.115 W077.44.51.157
                          N042.52.38.115 W077.44.51.157 N042.52.33.484 W077.44.24.442
                          N042.52.33.484 W077.44.24.442 N042.52.29.294 W077.43.57.593
                          N042.52.13.818 W077.38.30.762 N042.52.15.429 W077.38.03.583
                          N042.52.15.429 W077.38.03.583 N042.52.17.483 W077.37.36.461
                          N042.52.17.483 W077.37.36.461 N042.52.19.977 W077.37.09.406
                          N042.53.23.673 W077.31.55.092 N042.53.32.137 W077.31.28.864
                          N042.53.32.137 W077.31.28.864 N042.53.41.049 W077.31.02.910
                          N042.53.41.049 W077.31.02.910 N042.53.50.400 W077.30.37.244
                          N043.15.00.121 W078.13.28.559 N043.15.00.560 W078.10.44.144
                          N043.14.59.848 W078.00.43.673 N043.15.00.743 W077.59.22.146
                          N043.15.59.921 W076.46.03.861 N043.14.59.669 W076.46.05.191
                          N043.14.59.669 W076.46.05.191 N043.14.58.992 W076.47.28.088
                          N043.15.00.095 W077.07.22.724 N043.15.00.142 W077.08.44.257
                          N042.56.10.889 W077.26.02.765 N042.56.23.845 W077.25.44.031
                          N042.56.23.845 W077.25.44.031 N042.56.37.087 W077.25.25.671
                          N042.56.37.087 W077.25.25.671 N042.56.50.611 W077.25.07.688
                          N042.56.50.611 W077.25.07.688 N042.56.50.611 W077.25.07.688
                          N043.05.40.302 W077.38.10.767 N043.04.52.870 W077.37.18.230
                          N043.03.22.267 W077.35.38.607 N043.01.46.693 W077.33.53.686
                          N042.59.29.221 W077.31.21.845 N042.58.19.222 W077.29.08.377
                          N042.56.37.453 W077.25.55.040 N042.55.22.718 W077.23.32.837
                          N042.53.40.457 W077.20.18.912 N042.52.30.905 W077.18.07.203
                          N042.50.44.845 W077.14.47.339 N042.49.35.187 W077.12.34.940
                          N042.47.50.955 W077.09.18.953 N042.46.41.526 W077.07.08.099
                          N042.44.57.798 W077.03.52.857 N042.43.42.608 W077.01.31.991
                          N042.41.58.392 W076.58.16.619 N042.40.45.747 W076.56.00.413
                          N042.39.03.044 W076.52.48.900 N042.37.51.968 W076.50.36.896
                          N043.05.55.521 W077.46.29.096 N043.05.32.399 W077.46.19.078
                          N043.05.32.399 W077.46.19.078 N043.05.09.943 W077.46.06.543
                          N043.05.09.943 W077.46.06.543 N043.04.48.304 W077.45.51.577
                          N043.04.48.304 W077.45.51.577 N043.04.27.617 W077.45.34.276
                          N043.04.27.617 W077.45.34.276 N043.04.08.029 W077.45.14.756
                          N043.04.08.029 W077.45.14.756 N043.04.08.029 W077.45.14.756
                          N043.11.54.732 W077.42.20.267 N043.11.45.189 W077.42.50.653
                          N043.11.45.189 W077.42.50.653 N043.11.33.890 W077.43.19.888
                          N043.11.33.890 W077.43.19.888 N043.11.20.899 W077.43.47.781
                          N043.11.20.899 W077.43.47.781 N043.11.06.303 W077.44.14.147
                          N043.11.06.303 W077.44.14.147 N043.10.50.197 W077.44.38.817
                          N043.09.07.239 W077.33.34.537 N043.09.29.133 W077.33.48.062
                          N043.09.29.133 W077.33.48.062 N043.09.50.162 W077.34.03.942
                          N043.09.50.162 W077.34.03.942 N043.10.10.194 W077.34.22.072
                          N043.10.10.194 W077.34.22.072 N043.10.29.096 W077.34.42.339
                          N043.10.29.096 W077.34.42.339 N043.10.46.753 W077.35.04.611
                          N043.02.26.717 W077.37.58.564 N043.02.34.585 W077.37.26.924
                          N043.02.34.585 W077.37.26.924 N043.02.44.319 W077.36.56.262
                          N043.02.44.319 W077.36.56.262 N043.02.55.852 W077.36.26.780
                          N043.02.55.852 W077.36.26.780 N043.03.09.111 W077.35.58.681
                          N043.03.09.111 W077.35.58.681 N043.03.24.006 W077.35.32.145
                          N043.24.00.044 W076.46.50.114 N043.23.59.976 W078.00.00.224
                          N043.20.56.779 W078.04.05.120 N043.23.14.355 W078.01.01.374
                          N043.20.07.152 W078.05.11.104 N043.20.29.650 W078.04.41.484
                          N043.17.20.324 W078.08.53.528 N043.19.42.334 W078.05.44.309
                          N043.16.34.294 W078.09.54.455 N043.16.55.817 W078.09.26.236
                          N043.23.39.481 W078.00.27.654 N043.23.59.976 W078.00.00.224
                          N043.15.00.215 W078.11.59.820 N043.16.09.123 W078.10.28.044
                          N043.13.38.772 W078.12.23.427 N043.14.07.792 W078.12.14.675
                          N043.11.30.179 W078.13.00.097 N043.13.04.152 W078.12.33.027
                          N043.14.41.423 W078.12.05.061 N043.15.00.215 W078.11.59.820
                          N043.09.23.299 W078.12.13.081 N043.08.54.701 W078.12.02.038
                          N043.11.30.179 W078.13.00.097 N043.09.57.484 W078.12.25.527
                          N043.08.21.828 W078.11.50.060 N043.05.40.131 W078.10.49.801
                          N043.05.13.911 W078.13.45.695 N043.05.08.115 W078.14.25.177
                          N043.05.40.093 W078.10.49.801 N043.05.21.055 W078.12.58.586
                          N043.05.01.299 W078.15.10.938 N043.04.25.069 W078.19.14.943
